 ,XM,YM
1,644.551,257.009
2,791.224,257.029
3,614.472,261.915
4,821.408,261.876
5,689.581,268.637
6,746.043,268.648
7,578.742,271.124
8,857.026,271.083
9,546.000,279.329
10,889.759,279.327
11,669.069,287.454
12,766.754,287.403
13,931.338,299.830
14,504.302,300.754
15,527.056,305.411
16,717.839,305.728
17,908.706,305.290
18,884.469,304.839
19,663.567,306.923
20,772.192,306.808
21,953.205,315.862
22,479.284,316.836
23,882.104,317.500
24,657.173,325.486
25,778.683,325.445
26,977.167,324.944
27,698.828,326.380
28,736.937,326.429
29,537.828,328.500
30,524.522,335.661
31,988.000,334.598
32,447.944,337.571
33,878.218,342.400
34,685.342,344.212
35,750.252,344.330
36,652.594,345.289
37,783.119,345.262
38,802.706,354.470
39,1007.024,352.549
40,876.500,355.000
41,698.539,357.844
42,737.182,357.748
43,556.589,357.354
44,525.124,358.087
45,427.968,358.959
46,821.695,361.792
47,845.108,365.237
48,403.092,364.303
49,1015.994,366.494
50,710.386,366.553
51,725.408,366.492
52,442.224,367.845
53,645.156,372.547
54,790.454,372.592
55,517.679,373.907
56,569.223,382.189
57,1045.500,381.500
58,891.732,384.260
59,374.569,385.608
60,867.549,385.024
61,990.629,386.153
62,501.019,389.752
63,924.458,400.711
64,699.331,393.688
65,736.438,393.706
66,1054.545,393.164
67,860.847,396.992
68,482.647,398.381
69,534.379,398.070
70,645.868,398.132
71,812.425,403.597
72,454.736,402.573
73,552.289,400.289
74,582.419,399.500
75,519.800,400.800
76,970.003,403.609
77,498.577,409.772
78,1059.947,409.649
79,673.444,411.782
80,762.223,411.840
81,351.322,413.764
82,957.394,418.621
83,598.037,420.378
84,1038.872,419.050
85,460.451,427.024
86,856.086,427.470
87,1088.650,427.483
88,389.892,428.212
89,484.248,438.603
90,643.850,434.000
91,680.348,434.614
92,755.500,434.500
93,791.979,434.046
94,331.571,438.942
95,627.394,438.160
96,1017.521,438.955
97,936.590,438.631
98,414.756,441.267
99,608.364,445.114
100,1103.758,443.418
101,577.804,446.457
102,784.722,450.190
103,653.456,451.186
104,923.223,451.291
105,396.500,449.822
106,472.153,451.008
107,435.126,452.409
108,1013.547,455.895
109,698.126,456.927
110,737.500,457.000
111,811.058,458.217
112,847.097,461.403
113,389.107,460.444
114,829.019,459.731
115,572.128,466.604
116,1118.365,464.222
117,906.275,471.804
118,695.606,472.732
119,740.193,472.743
120,312.785,473.376
121,453.409,472.000
122,860.500,473.000
123,1030.500,474.000
124,681.309,476.173
125,754.353,476.142
126,486.624,479.054
127,887.136,480.682
128,378.159,483.858
129,524.000,485.000
130,556.341,484.181
131,1122.561,486.723
132,336.500,487.185
133,538.051,486.481
134,1041.872,493.500
135,365.032,489.250
136,674.238,491.805
137,761.599,491.798
138,1090.338,498.418
139,905.456,493.676
140,483.898,496.606
141,921.636,499.148
142,293.138,502.046
143,497.107,505.995
144,355.471,507.525
145,1060.866,509.112
146,1136.991,507.026
147,374.803,510.273
148,932.871,513.452
149,664.431,515.729
150,771.359,515.781
151,488.206,522.815
152,392.836,522.866
153,1024.688,527.099
154,1068.380,531.172
155,1143.103,532.404
156,938.559,531.529
157,307.023,534.957
158,668.629,534.477
159,767.088,534.360
160,280.023,553.142
161,995.422,541.383
162,413.948,541.481
163,473.191,543.704
164,684.000,545.000
165,751.721,545.031
166,345.976,548.451
167,533.380,549.167
168,608.349,549.373
169,827.188,549.500
170,902.132,549.132
171,1145.085,561.990
172,324.795,554.711
173,590.737,550.399
174,845.029,550.514
175,555.567,551.441
176,572.427,551.264
177,863.221,551.284
178,880.113,551.307
179,362.420,553.668
180,1077.744,552.556
181,376.379,560.314
182,973.963,556.785
183,434.768,556.448
184,624.703,559.635
185,810.979,559.569
186,457.807,559.136
187,699.906,560.385
188,735.976,560.345
189,684.331,564.265
190,751.559,564.174
191,398.639,565.213
192,515.005,565.374
193,920.734,565.374
194,531.167,566.694
195,904.593,566.852
196,1115.106,570.609
197,1081.934,575.009
198,414.430,572.610
199,961.463,573.067
200,717.956,573.205
201,1096.000,575.500
202,1168.715,576.117
203,639.185,576.743
204,796.573,576.736
205,315.956,582.774
206,452.390,582.173
207,369.037,580.963
208,266.875,584.500
209,507.796,585.261
210,927.849,585.247
211,297.379,585.606
212,687.115,586.047
213,748.457,586.030
214,969.905,585.905
215,1051.613,586.834
216,404.461,592.621
217,355.024,597.875
218,332.981,595.453
219,1012.106,599.661
220,647.996,599.798
221,787.868,599.808
222,455.729,600.948
223,1028.752,601.801
224,996.663,604.422
225,1135.841,604.960
226,1167.844,606.052
227,511.762,605.451
228,685.707,607.328
229,749.762,607.372
230,923.976,605.451
231,1095.697,609.935
232,979.291,608.799
233,399.562,620.162
234,453.481,618.949
235,511.216,625.991
236,924.350,625.969
237,639.117,626.804
238,796.552,626.665
239,1038.922,627.155
240,1169.717,629.559
241,986.500,627.653
242,243.048,630.004
243,283.364,630.473
244,443.801,636.747
245,315.991,633.114
246,683.275,633.747
247,752.324,633.761
248,399.917,637.017
249,1145.229,637.857
250,521.170,639.274
251,914.500,639.347
252,352.869,640.621
253,1039.153,640.085
254,1089.466,642.901
255,1117.666,641.776
256,378.678,642.911
257,416.448,648.627
258,312.000,649.000
259,623.342,648.421
260,812.470,648.370
261,600.692,650.100
262,834.979,650.045
263,535.052,650.259
264,900.566,650.313
265,580.110,651.400
266,855.593,651.438
267,998.684,657.720
268,1039.533,655.688
269,662.785,653.963
270,772.876,653.924
271,1174.204,654.091
272,558.500,654.419
273,877.385,654.385
274,438.000,656.500
275,716.390,658.989
276,238.742,660.264
277,1090.908,663.410
278,330.365,677.884
279,1115.382,662.957
280,1160.664,663.264
281,744.747,663.174
282,1060.845,664.086
283,1138.792,668.167
284,696.253,667.380
285,350.809,674.313
286,1176.409,675.152
287,645.816,676.582
288,789.816,676.582
289,474.500,684.962
290,751.675,682.617
291,961.344,684.875
292,564.787,687.593
293,685.768,687.687
294,870.990,687.541
295,1138.881,686.810
296,587.471,688.935
297,848.335,689.032
298,348.781,689.404
299,432.433,689.077
300,538.583,691.438
301,897.096,691.432
302,1093.155,696.148
303,1181.208,691.544
304,612.024,697.424
305,823.824,697.341
306,1135.860,708.569
307,237.641,701.856
308,426.000,702.500
309,744.000,701.117
310,566.048,703.883
311,869.721,703.827
312,317.129,707.480
313,648.554,704.370
314,787.225,704.357
315,477.957,707.476
316,957.929,707.563
317,517.157,708.369
318,918.562,708.407
319,1000.053,710.333
320,698.500,709.552
321,353.041,711.537
322,724.250,712.688
323,1177.781,713.596
324,254.988,715.453
325,285.605,716.667
326,1091.248,717.710
327,565.595,722.184
328,615.500,721.104
329,820.236,721.127
330,870.203,722.304
331,418.236,721.906
332,1006.562,726.859
333,371.462,728.034
334,655.582,728.758
335,780.136,728.682
336,238.604,733.356
337,474.500,730.104
338,678.000,730.000
339,757.862,730.000
340,961.241,730.148
341,517.237,731.132
342,918.246,731.044
343,286.966,732.776
344,1176.196,738.527
345,262.500,732.764
346,1041.099,733.755
347,1086.087,740.082
348,1059.822,735.798
349,1132.033,737.364
350,389.772,736.150
351,339.167,737.944
352,363.857,740.143
353,566.885,742.085
354,868.939,742.174
355,1155.456,741.324
356,692.901,745.495
357,742.798,745.521
358,315.570,745.226
359,422.248,746.017
360,650.596,748.449
361,785.150,748.460
362,610.576,749.128
363,825.128,749.141
364,474.730,753.270
365,526.455,753.311
366,909.158,753.228
367,961.030,753.178
368,243.707,755.640
369,552.615,753.385
370,586.343,755.171
371,849.442,755.201
372,883.110,753.400
373,435.000,755.000
374,338.014,756.915
375,1003.167,756.455
376,1129.627,757.359
377,397.130,760.038
378,1178.537,764.041
379,656.966,765.114
380,778.792,765.140
381,680.307,767.247
382,755.382,767.355
383,354.821,770.500
384,286.497,776.726
385,435.003,772.607
386,1127.980,774.547
387,1076.731,778.143
388,334.392,779.635
389,249.614,779.447
390,365.500,778.815
391,1007.441,781.195
392,394.000,782.500
393,579.354,784.218
394,680.599,789.558
395,703.289,783.876
396,732.500,784.000
397,755.023,789.492
398,856.452,784.129
399,1176.017,783.917
400,604.000,785.500
401,801.833,785.744
402,831.697,785.571
403,1031.466,785.963
404,499.794,788.322
405,633.754,785.795
